cancer,year,sex,race,stage,age,summary_interval,starting_count,net_relative,net_rel_cum_cis_lower,net_rel_cum_cis_upper
stomach,2000-2017,female,all races,late,>65,0 mo,2204,100,NA,NA
stomach,2000-2017,female,all races,late,>65,12 mo,2204,37.4,35.3,39.5
stomach,2000-2017,female,all races,late,>65,24 mo,2204,22.9,21,24.8
stomach,2000-2017,female,all races,late,>65,36 mo,2204,17.9,16.1,19.7
stomach,2000-2017,female,all races,late,>65,48 mo,2204,15.5,13.8,17.3
stomach,2000-2017,female,all races,late,>65,60 mo,2204,14.6,12.9,16.4
stomach,2000-2017,female,all races,late,>65,72 mo,2204,13.4,11.6,15.3
stomach,2000-2017,female,all races,late,>65,84 mo,2204,12.2,10.4,14.1
stomach,2000-2017,female,all races,late,>65,96 mo,2204,11.7,9.8,13.8
stomach,2000-2017,female,all races,late,>65,108 mo,2204,11,8.9,13.3
stomach,2000-2017,female,all races,late,>65,120 mo,2204,10.6,8.4,13.1
stomach,2000-2017,female,all races,unstaged,all ages,0 mo,713,100,NA,NA
stomach,2000-2017,female,all races,unstaged,all ages,12 mo,713,40.6,36.7,44.3
stomach,2000-2017,female,all races,unstaged,all ages,24 mo,713,28.2,24.6,31.9
stomach,2000-2017,female,all races,unstaged,all ages,36 mo,713,24.6,21.1,28.2
stomach,2000-2017,female,all races,unstaged,all ages,48 mo,713,22.4,18.9,26.1
stomach,2000-2017,female,all races,unstaged,all ages,60 mo,713,21.5,17.9,25.2
stomach,2000-2017,female,all races,unstaged,all ages,72 mo,713,18.8,15.2,22.8
stomach,2000-2017,female,all races,unstaged,all ages,84 mo,713,17.9,14.2,22
stomach,2000-2017,female,all races,unstaged,all ages,96 mo,713,17.6,13.9,21.7
stomach,2000-2017,female,all races,unstaged,all ages,108 mo,713,17,13.2,21.3
stomach,2000-2017,female,all races,unstaged,all ages,120 mo,713,17,13,21.4
stomach,2000-2017,female,all races,unstaged,<65,0 mo,94,100,NA,NA
stomach,2000-2017,female,all races,unstaged,<65,12 mo,94,77,67,84.3
stomach,2000-2017,female,all races,unstaged,<65,24 mo,94,70.7,60.2,78.9
stomach,2000-2017,female,all races,unstaged,<65,36 mo,94,66.5,55.6,75.3
stomach,2000-2017,female,all races,unstaged,<65,48 mo,94,65.5,54.5,74.5
stomach,2000-2017,female,all races,unstaged,<65,60 mo,94,64.6,53.4,73.8
stomach,2000-2017,female,all races,unstaged,<65,72 mo,94,64.6,53.4,73.8
stomach,2000-2017,female,all races,unstaged,<65,84 mo,94,62.1,50.2,72
stomach,2000-2017,female,all races,unstaged,<65,96 mo,94,60.4,48.2,70.5
stomach,2000-2017,female,all races,unstaged,<65,108 mo,94,60.4,48.2,70.5
stomach,2000-2017,female,all races,unstaged,<65,120 mo,94,59.1,46.1,70
stomach,2000-2017,female,all races,unstaged,>65,0 mo,619,100,NA,NA
stomach,2000-2017,female,all races,unstaged,>65,12 mo,619,35,31.1,39
stomach,2000-2017,female,all races,unstaged,>65,24 mo,619,21.8,18.3,25.5
stomach,2000-2017,female,all races,unstaged,>65,36 mo,619,18.3,14.9,21.9
stomach,2000-2017,female,all races,unstaged,>65,48 mo,619,15.9,12.6,19.6
stomach,2000-2017,female,all races,unstaged,>65,60 mo,619,15,11.6,18.7
stomach,2000-2017,female,all races,unstaged,>65,72 mo,619,11.9,8.6,15.8
stomach,2000-2017,female,all races,unstaged,>65,84 mo,619,11,7.7,14.9
stomach,2000-2017,female,all races,unstaged,>65,96 mo,619,11,7.7,14.9
stomach,2000-2017,female,all races,unstaged,>65,108 mo,619,10.5,7.1,14.7
stomach,2000-2017,female,all races,unstaged,>65,120 mo,619,10.5,7.1,14.7
colon and rectum,2000-2017,all sexes,white,invasive,all ages,0 mo,96058,100,NA,NA
colon and rectum,2000-2017,all sexes,white,invasive,all ages,12 mo,96058,82,81.7,82.2
colon and rectum,2000-2017,all sexes,white,invasive,all ages,24 mo,96058,74.8,74.5,75.1
colon and rectum,2000-2017,all sexes,white,invasive,all ages,36 mo,96058,69.8,69.5,70.2
colon and rectum,2000-2017,all sexes,white,invasive,all ages,48 mo,96058,66,65.6,66.4
colon and rectum,2000-2017,all sexes,white,invasive,all ages,60 mo,96058,63,62.6,63.4
colon and rectum,2000-2017,all sexes,white,invasive,all ages,72 mo,96058,60.8,60.3,61.2
colon and rectum,2000-2017,all sexes,white,invasive,all ages,84 mo,96058,58.8,58.3,59.3
colon and rectum,2000-2017,all sexes,white,invasive,all ages,96 mo,96058,56.8,56.3,57.3
colon and rectum,2000-2017,all sexes,white,invasive,all ages,108 mo,96058,55.1,54.6,55.7
colon and rectum,2000-2017,all sexes,white,invasive,all ages,120 mo,96058,53.7,53.1,54.3
colon and rectum,2000-2017,all sexes,white,invasive,<65,0 mo,33971,100,NA,NA
colon and rectum,2000-2017,all sexes,white,invasive,<65,12 mo,33971,90.2,89.9,90.5
colon and rectum,2000-2017,all sexes,white,invasive,<65,24 mo,33971,82.8,82.4,83.2
colon and rectum,2000-2017,all sexes,white,invasive,<65,36 mo,33971,77.1,76.6,77.5
colon and rectum,2000-2017,all sexes,white,invasive,<65,48 mo,33971,73.1,72.6,73.6
colon and rectum,2000-2017,all sexes,white,invasive,<65,60 mo,33971,70,69.5,70.6
colon and rectum,2000-2017,all sexes,white,invasive,<65,72 mo,33971,67.8,67.3,68.4
colon and rectum,2000-2017,all sexes,white,invasive,<65,84 mo,33971,66.1,65.5,66.7
colon and rectum,2000-2017,all sexes,white,invasive,<65,96 mo,33971,64.6,64,65.2
colon and rectum,2000-2017,all sexes,white,invasive,<65,108 mo,33971,63.6,63,64.2
colon and rectum,2000-2017,all sexes,white,invasive,<65,120 mo,33971,62.8,62.1,63.4
colon and rectum,2000-2017,all sexes,white,invasive,>65,0 mo,62087,100,NA,NA
colon and rectum,2000-2017,all sexes,white,invasive,>65,12 mo,62087,77.5,77.1,77.8
colon and rectum,2000-2017,all sexes,white,invasive,>65,24 mo,62087,70.5,70,70.9
colon and rectum,2000-2017,all sexes,white,invasive,>65,36 mo,62087,65.9,65.4,66.3
colon and rectum,2000-2017,all sexes,white,invasive,>65,48 mo,62087,62.1,61.6,62.6
colon and rectum,2000-2017,all sexes,white,invasive,>65,60 mo,62087,59.2,58.6,59.7
colon and rectum,2000-2017,all sexes,white,invasive,>65,72 mo,62087,56.9,56.3,57.5
colon and rectum,2000-2017,all sexes,white,invasive,>65,84 mo,62087,54.9,54.2,55.5
colon and rectum,2000-2017,all sexes,white,invasive,>65,96 mo,62087,52.6,51.9,53.3
colon and rectum,2000-2017,all sexes,white,invasive,>65,108 mo,62087,50.6,49.9,51.4
colon and rectum,2000-2017,all sexes,white,invasive,>65,120 mo,62087,49,48.2,49.8
colon and rectum,2000-2017,all sexes,white,early,all ages,0 mo,43870,100,NA,NA
colon and rectum,2000-2017,all sexes,white,early,all ages,12 mo,43870,95.2,94.9,95.4
colon and rectum,2000-2017,all sexes,white,early,all ages,24 mo,43870,93.7,93.3,94
colon and rectum,2000-2017,all sexes,white,early,all ages,36 mo,43870,92.3,91.9,92.7
colon and rectum,2000-2017,all sexes,white,early,all ages,48 mo,43870,90.6,90.1,91
colon and rectum,2000-2017,all sexes,white,early,all ages,60 mo,43870,88.4,87.9,89
colon and rectum,2000-2017,all sexes,white,early,all ages,72 mo,43870,86.8,86.2,87.5
colon and rectum,2000-2017,all sexes,white,early,all ages,84 mo,43870,85.3,84.5,85.9
colon and rectum,2000-2017,all sexes,white,early,all ages,96 mo,43870,83.2,82.4,83.9
colon and rectum,2000-2017,all sexes,white,early,all ages,108 mo,43870,81.2,80.3,82
colon and rectum,2000-2017,all sexes,white,early,all ages,120 mo,43870,79.5,78.5,80.5
colon and rectum,2000-2017,all sexes,white,early,<65,0 mo,15539,100,NA,NA
colon and rectum,2000-2017,all sexes,white,early,<65,12 mo,15539,98.8,98.6,99
colon and rectum,2000-2017,all sexes,white,early,<65,24 mo,15539,97.9,97.6,98.2
colon and rectum,2000-2017,all sexes,white,early,<65,36 mo,15539,97.1,96.7,97.4
colon and rectum,2000-2017,all sexes,white,early,<65,48 mo,15539,96.2,95.8,96.6
colon and rectum,2000-2017,all sexes,white,early,<65,60 mo,15539,95.1,94.6,95.5
colon and rectum,2000-2017,all sexes,white,early,<65,72 mo,15539,94.2,93.6,94.7
colon and rectum,2000-2017,all sexes,white,early,<65,84 mo,15539,93.5,92.9,94
colon and rectum,2000-2017,all sexes,white,early,<65,96 mo,15539,92.7,92,93.3
colon and rectum,2000-2017,all sexes,white,early,<65,108 mo,15539,91.8,91.1,92.5
colon and rectum,2000-2017,all sexes,white,early,<65,120 mo,15539,91.2,90.4,91.9
colon and rectum,2000-2017,all sexes,white,early,>65,0 mo,28331,100,NA,NA
colon and rectum,2000-2017,all sexes,white,early,>65,12 mo,28331,93.2,92.8,93.6
colon and rectum,2000-2017,all sexes,white,early,>65,24 mo,28331,91.3,90.8,91.8
colon and rectum,2000-2017,all sexes,white,early,>65,36 mo,28331,89.7,89.1,90.3
colon and rectum,2000-2017,all sexes,white,early,>65,48 mo,28331,87.5,86.8,88.2
colon and rectum,2000-2017,all sexes,white,early,>65,60 mo,28331,84.9,84,85.6
colon and rectum,2000-2017,all sexes,white,early,>65,72 mo,28331,82.9,82,83.8
colon and rectum,2000-2017,all sexes,white,early,>65,84 mo,28331,80.9,79.9,81.9
colon and rectum,2000-2017,all sexes,white,early,>65,96 mo,28331,78.2,77,79.3
colon and rectum,2000-2017,all sexes,white,early,>65,108 mo,28331,75.6,74.3,76.8
colon and rectum,2000-2017,all sexes,white,early,>65,120 mo,28331,73.5,72.1,74.8
colon and rectum,2000-2017,all sexes,white,late,all ages,0 mo,56140,100,NA,NA
colon and rectum,2000-2017,all sexes,white,late,all ages,12 mo,56140,76,75.6,76.4
colon and rectum,2000-2017,all sexes,white,late,all ages,24 mo,56140,65.6,65.2,66
colon and rectum,2000-2017,all sexes,white,late,all ages,36 mo,56140,58.4,57.9,58.9
colon and rectum,2000-2017,all sexes,white,late,all ages,48 mo,56140,53.3,52.9,53.8
colon and rectum,2000-2017,all sexes,white,late,all ages,60 mo,56140,49.7,49.2,50.3
colon and rectum,2000-2017,all sexes,white,late,all ages,72 mo,56140,47.2,46.7,47.8
colon and rectum,2000-2017,all sexes,white,late,all ages,84 mo,56140,45.1,44.5,45.6
colon and rectum,2000-2017,all sexes,white,late,all ages,96 mo,56140,43.1,42.5,43.7
colon and rectum,2000-2017,all sexes,white,late,all ages,108 mo,56140,41.6,41,42.3
colon and rectum,2000-2017,all sexes,white,late,all ages,120 mo,56140,40.4,39.7,41.1
colon and rectum,2000-2017,all sexes,white,late,<65,0 mo,21094,100,NA,NA
colon and rectum,2000-2017,all sexes,white,late,<65,12 mo,21094,85.5,85,86
colon and rectum,2000-2017,all sexes,white,late,<65,24 mo,21094,74.4,73.8,75
colon and rectum,2000-2017,all sexes,white,late,<65,36 mo,21094,65.9,65.2,66.6
colon and rectum,2000-2017,all sexes,white,late,<65,48 mo,21094,60.2,59.5,60.9
colon and rectum,2000-2017,all sexes,white,late,<65,60 mo,21094,56,55.2,56.7
colon and rectum,2000-2017,all sexes,white,late,<65,72 mo,21094,53.1,52.4,53.9
colon and rectum,2000-2017,all sexes,white,late,<65,84 mo,21094,50.8,50,51.6
colon and rectum,2000-2017,all sexes,white,late,<65,96 mo,21094,49,48.2,49.8
colon and rectum,2000-2017,all sexes,white,late,<65,108 mo,21094,47.9,47.1,48.7
colon and rectum,2000-2017,all sexes,white,late,<65,120 mo,21094,47,46.1,47.8
colon and rectum,2000-2017,all sexes,white,late,>65,0 mo,35046,100,NA,NA
colon and rectum,2000-2017,all sexes,white,late,>65,12 mo,35046,70.2,69.7,70.8
colon and rectum,2000-2017,all sexes,white,late,>65,24 mo,35046,60.3,59.7,60.9
colon and rectum,2000-2017,all sexes,white,late,>65,36 mo,35046,53.9,53.2,54.5
colon and rectum,2000-2017,all sexes,white,late,>65,48 mo,35046,49.2,48.5,49.9
colon and rectum,2000-2017,all sexes,white,late,>65,60 mo,35046,46,45.3,46.7
colon and rectum,2000-2017,all sexes,white,late,>65,72 mo,35046,43.6,42.9,44.4
colon and rectum,2000-2017,all sexes,white,late,>65,84 mo,35046,41.6,40.8,42.4
colon and rectum,2000-2017,all sexes,white,late,>65,96 mo,35046,39.6,38.7,40.4
colon and rectum,2000-2017,all sexes,white,late,>65,108 mo,35046,37.9,37,38.9
colon and rectum,2000-2017,all sexes,white,late,>65,120 mo,35046,36.6,35.6,37.6
colon and rectum,2000-2017,all sexes,white,unstaged,all ages,0 mo,4857,100,NA,NA
colon and rectum,2000-2017,all sexes,white,unstaged,all ages,12 mo,4857,58.7,57.2,60.2
colon and rectum,2000-2017,all sexes,white,unstaged,all ages,24 mo,4857,48.9,47.3,50.4
colon and rectum,2000-2017,all sexes,white,unstaged,all ages,36 mo,4857,42.7,41,44.3
colon and rectum,2000-2017,all sexes,white,unstaged,all ages,48 mo,4857,38.7,37,40.3
colon and rectum,2000-2017,all sexes,white,unstaged,all ages,60 mo,4857,36.5,34.8,38.2
colon and rectum,2000-2017,all sexes,white,unstaged,all ages,72 mo,4857,34.6,32.8,36.4
colon and rectum,2000-2017,all sexes,white,unstaged,all ages,84 mo,4857,33.9,32.1,35.7
colon and rectum,2000-2017,all sexes,white,unstaged,all ages,96 mo,4857,32.3,30.4,34.3
colon and rectum,2000-2017,all sexes,white,unstaged,all ages,108 mo,4857,31.2,29.2,33.3
colon and rectum,2000-2017,all sexes,white,unstaged,all ages,120 mo,4857,30.3,28.2,32.4
colon and rectum,2000-2017,all sexes,white,unstaged,<65,0 mo,1060,100,NA,NA
colon and rectum,2000-2017,all sexes,white,unstaged,<65,12 mo,1060,87.4,85.2,89.3
colon and rectum,2000-2017,all sexes,white,unstaged,<65,24 mo,1060,82.3,79.7,84.5
colon and rectum,2000-2017,all sexes,white,unstaged,<65,36 mo,1060,78.1,75.3,80.6
colon and rectum,2000-2017,all sexes,white,unstaged,<65,48 mo,1060,74.4,71.4,77.1
colon and rectum,2000-2017,all sexes,white,unstaged,<65,60 mo,1060,73.3,70.2,76.1
colon and rectum,2000-2017,all sexes,white,unstaged,<65,72 mo,1060,71.6,68.4,74.5
colon and rectum,2000-2017,all sexes,white,unstaged,<65,84 mo,1060,70.6,67.3,73.6
colon and rectum,2000-2017,all sexes,white,unstaged,<65,96 mo,1060,68.4,65,71.6
colon and rectum,2000-2017,all sexes,white,unstaged,<65,108 mo,1060,67.7,64.2,70.9
colon and rectum,2000-2017,all sexes,white,unstaged,<65,120 mo,1060,67.3,63.7,70.6
colon and rectum,2000-2017,all sexes,white,unstaged,>65,0 mo,3797,100,NA,NA
colon and rectum,2000-2017,all sexes,white,unstaged,>65,12 mo,3797,50.7,49,52.4
colon and rectum,2000-2017,all sexes,white,unstaged,>65,24 mo,3797,39.5,37.8,41.3
colon and rectum,2000-2017,all sexes,white,unstaged,>65,36 mo,3797,32.8,31.1,34.6
colon and rectum,2000-2017,all sexes,white,unstaged,>65,48 mo,3797,28.8,27,30.6
colon and rectum,2000-2017,all sexes,white,unstaged,>65,60 mo,3797,26.4,24.5,28.2
colon and rectum,2000-2017,all sexes,white,unstaged,>65,72 mo,3797,24.4,22.6,26.3
colon and rectum,2000-2017,all sexes,white,unstaged,>65,84 mo,3797,23.8,21.9,25.8
colon and rectum,2000-2017,all sexes,white,unstaged,>65,96 mo,3797,22.5,20.4,24.6
colon and rectum,2000-2017,all sexes,white,unstaged,>65,108 mo,3797,21.3,19.2,23.5
colon and rectum,2000-2017,all sexes,white,unstaged,>65,120 mo,3797,20.3,18.1,22.6
colon and rectum,2000-2017,all sexes,black,invasive,all ages,0 mo,9115,100,NA,NA
colon and rectum,2000-2017,all sexes,black,invasive,all ages,12 mo,9115,80.6,79.7,81.5
colon and rectum,2000-2017,all sexes,black,invasive,all ages,24 mo,9115,71.6,70.5,72.6
colon and rectum,2000-2017,all sexes,black,invasive,all ages,36 mo,9115,64.8,63.6,65.9
colon and rectum,2000-2017,all sexes,black,invasive,all ages,48 mo,9115,60.5,59.3,61.7
colon and rectum,2000-2017,all sexes,black,invasive,all ages,60 mo,9115,57.8,56.5,59.1
colon and rectum,2000-2017,all sexes,black,invasive,all ages,72 mo,9115,55.4,54.1,56.8
colon and rectum,2000-2017,all sexes,black,invasive,all ages,84 mo,9115,53.8,52.4,55.2
colon and rectum,2000-2017,all sexes,black,invasive,all ages,96 mo,9115,52.4,50.9,53.9
colon and rectum,2000-2017,all sexes,black,invasive,all ages,108 mo,9115,51.5,49.9,53.1
colon and rectum,2000-2017,all sexes,black,invasive,all ages,120 mo,9115,51.1,49.4,52.9
colon and rectum,2000-2017,all sexes,black,invasive,<65,0 mo,4649,100,NA,NA
colon and rectum,2000-2017,all sexes,black,invasive,<65,12 mo,4649,86.6,85.6,87.6
colon and rectum,2000-2017,all sexes,black,invasive,<65,24 mo,4649,78.1,76.9,79.4
colon and rectum,2000-2017,all sexes,black,invasive,<65,36 mo,4649,70.8,69.4,72.2
colon and rectum,2000-2017,all sexes,black,invasive,<65,48 mo,4649,66.5,65,68
colon and rectum,2000-2017,all sexes,black,invasive,<65,60 mo,4649,63.3,61.7,64.9
colon and rectum,2000-2017,all sexes,black,invasive,<65,72 mo,4649,60.8,59.1,62.4
colon and rectum,2000-2017,all sexes,black,invasive,<65,84 mo,4649,59.3,57.6,60.9
colon and rectum,2000-2017,all sexes,black,invasive,<65,96 mo,4649,57.9,56.1,59.6
colon and rectum,2000-2017,all sexes,black,invasive,<65,108 mo,4649,57.1,55.2,58.9
colon and rectum,2000-2017,all sexes,black,invasive,<65,120 mo,4649,57.1,55.2,58.9
colon and rectum,2000-2017,all sexes,black,invasive,>65,0 mo,4466,100,NA,NA
colon and rectum,2000-2017,all sexes,black,invasive,>65,12 mo,4466,74.4,72.9,75.7
colon and rectum,2000-2017,all sexes,black,invasive,>65,24 mo,4466,64.7,63.1,66.3
colon and rectum,2000-2017,all sexes,black,invasive,>65,36 mo,4466,58.5,56.7,60.2
colon and rectum,2000-2017,all sexes,black,invasive,>65,48 mo,4466,54.3,52.4,56.1
colon and rectum,2000-2017,all sexes,black,invasive,>65,60 mo,4466,52.1,50.1,54.1
colon and rectum,2000-2017,all sexes,black,invasive,>65,72 mo,4466,49.9,47.7,52
colon and rectum,2000-2017,all sexes,black,invasive,>65,84 mo,4466,48.1,45.8,50.3
colon and rectum,2000-2017,all sexes,black,invasive,>65,96 mo,4466,46.7,44.3,49.1
colon and rectum,2000-2017,all sexes,black,invasive,>65,108 mo,4466,45.7,43.1,48.2
colon and rectum,2000-2017,all sexes,black,invasive,>65,120 mo,4466,44.9,42.1,47.7
colon and rectum,2000-2017,all sexes,black,early,all ages,0 mo,4268,100,NA,NA
colon and rectum,2000-2017,all sexes,black,early,all ages,12 mo,4268,95.1,94.2,95.8
colon and rectum,2000-2017,all sexes,black,early,all ages,24 mo,4268,92.9,91.7,93.9
colon and rectum,2000-2017,all sexes,black,early,all ages,36 mo,4268,89.9,88.5,91.1
colon and rectum,2000-2017,all sexes,black,early,all ages,48 mo,4268,87.8,86.2,89.2
colon and rectum,2000-2017,all sexes,black,early,all ages,60 mo,4268,86.2,84.4,87.7
colon and rectum,2000-2017,all sexes,black,early,all ages,72 mo,4268,84.8,82.8,86.6
colon and rectum,2000-2017,all sexes,black,early,all ages,84 mo,4268,83.5,81.3,85.4
colon and rectum,2000-2017,all sexes,black,early,all ages,96 mo,4268,82,79.6,84.1
colon and rectum,2000-2017,all sexes,black,early,all ages,108 mo,4268,80.5,77.8,82.9
colon and rectum,2000-2017,all sexes,black,early,all ages,120 mo,4268,79.8,76.8,82.4
colon and rectum,2000-2017,all sexes,black,early,<65,0 mo,2186,100,NA,NA
colon and rectum,2000-2017,all sexes,black,early,<65,12 mo,2186,98.1,97.3,98.7
colon and rectum,2000-2017,all sexes,black,early,<65,24 mo,2186,97.2,96.1,98
colon and rectum,2000-2017,all sexes,black,early,<65,36 mo,2186,94.9,93.5,96
colon and rectum,2000-2017,all sexes,black,early,<65,48 mo,2186,93.3,91.8,94.6
colon and rectum,2000-2017,all sexes,black,early,<65,60 mo,2186,91.7,89.9,93.2
colon and rectum,2000-2017,all sexes,black,early,<65,72 mo,2186,90,88.1,91.7
colon and rectum,2000-2017,all sexes,black,early,<65,84 mo,2186,89.2,87,91
colon and rectum,2000-2017,all sexes,black,early,<65,96 mo,2186,88.2,85.9,90.2
colon and rectum,2000-2017,all sexes,black,early,<65,108 mo,2186,87.8,85.4,89.9
colon and rectum,2000-2017,all sexes,black,early,<65,120 mo,2186,87.8,85.4,89.9
colon and rectum,2000-2017,all sexes,black,early,>65,0 mo,2082,100,NA,NA
colon and rectum,2000-2017,all sexes,black,early,>65,12 mo,2082,91.9,90.2,93.3
colon and rectum,2000-2017,all sexes,black,early,>65,24 mo,2082,88.4,86.3,90.1
colon and rectum,2000-2017,all sexes,black,early,>65,36 mo,2082,84.6,82.1,86.7
colon and rectum,2000-2017,all sexes,black,early,>65,48 mo,2082,82.1,79.3,84.5
colon and rectum,2000-2017,all sexes,black,early,>65,60 mo,2082,80.4,77.3,83.1
colon and rectum,2000-2017,all sexes,black,early,>65,72 mo,2082,79.2,75.8,82.3
colon and rectum,2000-2017,all sexes,black,early,>65,84 mo,2082,77.5,73.7,80.9
colon and rectum,2000-2017,all sexes,black,early,>65,96 mo,2082,75.5,71.3,79.2
colon and rectum,2000-2017,all sexes,black,early,>65,108 mo,2082,72.9,68.2,77
colon and rectum,2000-2017,all sexes,black,early,>65,120 mo,2082,71.4,66.3,76
colon and rectum,2000-2017,all sexes,black,late,all ages,0 mo,5333,100,NA,NA
colon and rectum,2000-2017,all sexes,black,late,all ages,12 mo,5333,73,71.7,74.2
colon and rectum,2000-2017,all sexes,black,late,all ages,24 mo,5333,60.1,58.6,61.5
colon and rectum,2000-2017,all sexes,black,late,all ages,36 mo,5333,51.1,49.6,52.6
colon and rectum,2000-2017,all sexes,black,late,all ages,48 mo,5333,45.7,44.1,47.2
colon and rectum,2000-2017,all sexes,black,late,all ages,60 mo,5333,42.2,40.6,43.8
colon and rectum,2000-2017,all sexes,black,late,all ages,72 mo,5333,39.4,37.7,41
colon and rectum,2000-2017,all sexes,black,late,all ages,84 mo,5333,37.6,35.9,39.3
colon and rectum,2000-2017,all sexes,black,late,all ages,96 mo,5333,36,34.3,37.8
colon and rectum,2000-2017,all sexes,black,late,all ages,108 mo,5333,35.3,33.4,37.1
colon and rectum,2000-2017,all sexes,black,late,all ages,120 mo,5333,35.1,33.1,37
colon and rectum,2000-2017,all sexes,black,late,<65,0 mo,2791,100,NA,NA
colon and rectum,2000-2017,all sexes,black,late,<65,12 mo,2791,80.1,78.5,81.5
colon and rectum,2000-2017,all sexes,black,late,<65,24 mo,2791,66.9,65,68.7
colon and rectum,2000-2017,all sexes,black,late,<65,36 mo,2791,56.5,54.5,58.4
colon and rectum,2000-2017,all sexes,black,late,<65,48 mo,2791,50.7,48.7,52.7
colon and rectum,2000-2017,all sexes,black,late,<65,60 mo,2791,46.7,44.6,48.8
colon and rectum,2000-2017,all sexes,black,late,<65,72 mo,2791,43.6,41.5,45.7
colon and rectum,2000-2017,all sexes,black,late,<65,84 mo,2791,41.9,39.8,44.1
colon and rectum,2000-2017,all sexes,black,late,<65,96 mo,2791,40,37.8,42.2
colon and rectum,2000-2017,all sexes,black,late,<65,108 mo,2791,38.8,36.5,41
colon and rectum,2000-2017,all sexes,black,late,<65,120 mo,2791,38.8,36.5,41.1
colon and rectum,2000-2017,all sexes,black,late,>65,0 mo,2542,100,NA,NA
colon and rectum,2000-2017,all sexes,black,late,>65,12 mo,2542,65.2,63.2,67.1
colon and rectum,2000-2017,all sexes,black,late,>65,24 mo,2542,52.6,50.4,54.7
colon and rectum,2000-2017,all sexes,black,late,>65,36 mo,2542,45.1,42.9,47.4
colon and rectum,2000-2017,all sexes,black,late,>65,48 mo,2542,40.1,37.8,42.5
colon and rectum,2000-2017,all sexes,black,late,>65,60 mo,2542,37.3,34.9,39.7
colon and rectum,2000-2017,all sexes,black,late,>65,72 mo,2542,34.7,32.2,37.2
colon and rectum,2000-2017,all sexes,black,late,>65,84 mo,2542,32.8,30.2,35.4
colon and rectum,2000-2017,all sexes,black,late,>65,96 mo,2542,31.7,28.9,34.5
colon and rectum,2000-2017,all sexes,black,late,>65,108 mo,2542,31.3,28.4,34.2
colon and rectum,2000-2017,all sexes,black,late,>65,120 mo,2542,30.9,27.8,34
colon and rectum,2000-2017,all sexes,black,unstaged,all ages,0 mo,554,100,NA,NA
colon and rectum,2000-2017,all sexes,black,unstaged,all ages,12 mo,554,71.6,67.3,75.4
colon and rectum,2000-2017,all sexes,black,unstaged,all ages,24 mo,554,61.7,57,66
colon and rectum,2000-2017,all sexes,black,unstaged,all ages,36 mo,554,56.1,51.1,60.7
colon and rectum,2000-2017,all sexes,black,unstaged,all ages,48 mo,554,49.3,44.3,54.2
colon and rectum,2000-2017,all sexes,black,unstaged,all ages,60 mo,554,46.1,40.9,51.1
colon and rectum,2000-2017,all sexes,black,unstaged,all ages,72 mo,554,43.8,38.4,49
colon and rectum,2000-2017,all sexes,black,unstaged,all ages,84 mo,554,42.4,37,47.8
colon and rectum,2000-2017,all sexes,black,unstaged,all ages,96 mo,554,42.4,36.7,48
colon and rectum,2000-2017,all sexes,black,unstaged,all ages,108 mo,554,41.9,36.1,47.7
colon and rectum,2000-2017,all sexes,black,unstaged,all ages,120 mo,554,41.9,36.1,47.7
colon and rectum,2000-2017,all sexes,black,unstaged,<65,0 mo,234,100,NA,NA
colon and rectum,2000-2017,all sexes,black,unstaged,<65,12 mo,234,88.6,83.5,92.2
colon and rectum,2000-2017,all sexes,black,unstaged,<65,24 mo,234,83.3,77.4,87.7
colon and rectum,2000-2017,all sexes,black,unstaged,<65,36 mo,234,80.2,73.9,85.1
colon and rectum,2000-2017,all sexes,black,unstaged,<65,48 mo,234,76.4,69.7,81.9
colon and rectum,2000-2017,all sexes,black,unstaged,<65,60 mo,234,72.4,65.1,78.5
colon and rectum,2000-2017,all sexes,black,unstaged,<65,72 mo,234,72.4,65.1,78.5
colon and rectum,2000-2017,all sexes,black,unstaged,<65,84 mo,234,70.4,62.6,76.9
colon and rectum,2000-2017,all sexes,black,unstaged,<65,96 mo,234,70.1,62,76.8
colon and rectum,2000-2017,all sexes,black,unstaged,<65,108 mo,234,69.8,61.5,76.6
colon and rectum,2000-2017,all sexes,black,unstaged,<65,120 mo,234,69.8,61.5,76.6
colon and rectum,2000-2017,all sexes,black,unstaged,>65,0 mo,320,100,NA,NA
colon and rectum,2000-2017,all sexes,black,unstaged,>65,12 mo,320,59.2,53.1,64.8
colon and rectum,2000-2017,all sexes,black,unstaged,>65,24 mo,320,45.9,39.7,51.9
colon and rectum,2000-2017,all sexes,black,unstaged,>65,36 mo,320,38.5,32.2,44.8
colon and rectum,2000-2017,all sexes,black,unstaged,>65,48 mo,320,30.1,24.1,36.3
colon and rectum,2000-2017,all sexes,black,unstaged,>65,60 mo,320,27.3,21.3,33.7
colon and rectum,2000-2017,all sexes,black,unstaged,>65,72 mo,320,23.5,17.5,29.9
colon and rectum,2000-2017,all sexes,black,unstaged,>65,84 mo,320,22.6,16.6,29.2
colon and rectum,2000-2017,all sexes,black,unstaged,>65,96 mo,320,22.6,16.6,29.2
colon and rectum,2000-2017,all sexes,black,unstaged,>65,108 mo,320,22.5,15.9,29.8
colon and rectum,2000-2017,all sexes,black,unstaged,>65,120 mo,320,22.5,15.9,29.8
colon and rectum,2000-2017,all sexes,all races,invasive,all ages,0 mo,106366,100,NA,NA
colon and rectum,2000-2017,all sexes,all races,invasive,all ages,12 mo,106366,81.9,81.7,82.2
